Script started on Sat 09 Jul 2016 08:49:43 PM EDT
]0;pahlni@eos18:~/cis263/p1/AmortizationTable[?1034h[pahlni@eos18 AmortizationTable]$ ./PahlAssignment1 
Please enter the name of the Loan: example
Please enter the principle: 180000
Please enter the APR (0.XXXX): 004  .04
Please enter the number of months: 360
Please enter the amount extra willing to pay each month: 32 00
*******************************************
* example - 180000.00 - 360 - 4.00% - 300.00 extra *
*******************************************
month          monthly pay    pri remain     pri paid       int paid       total paid     total pri paid total int paid 
31             859.35         161144.51      620.13         539.22         37099.12       18855.49       18243.63       
32             859.35         160522.31      622.20         537.15         38258.47       19477.69       18780.78       
33             859.35         159898.03      624.27         535.07         39417.82       20101.97       19315.85       
34             859.35         159271.68      626.35         532.99         40577.16       20728.32       19848.84       
35             859.35         158643.24      628.44         530.91         41736.51       21356.76       20379.75       
36             859.35         158012.70      630.54         528.81         42895.86       21987.30       20908.56       
37             859.35         157380.06      632.64         526.71         44055.21       22619.94       21435.27       
38             859.35         156745.31      634.75         524.60         45214.55       23254.69       21959.87       
39             859.35         156108.45      636.86         522.48         46373.90       23891.55       22482.35       
40             859.35         155469.47      638.99         520.36         47533.25       24530.53       23002.71       
41             859.35         154828.35      641.12         518.23         48692.60       25171.65       23520.95       
42             859.35         154185.10      643.25         516.09         49851.94       25814.90       24037.04       
43             859.35         153539.70      645.40         513.95         51011.29       26460.30       24550.99       
44             859.35         152892.15      647.55         511.80         52170.64       27107.85       25062.79       
45             859.35         152242.44      649.71         509.64         53329.99       27757.56       25572.43       
46             859.35         151590.57      651.87         507.47         54489.33       28409.43       26079.91       
47             859.35         150936.53      654.05         505.30         55648.68       29063.47       26585.21       
48             859.35         150280.30      656.23         503.12         56808.03       29719.70       27088.33       
49             859.35         149621.89      658.41         500.93         57967.38       30378.11       27589.26       
50             859.35         148961.28      660.61         498.74         59126.72       31038.72       28088.00       
51             859.35         148298.47      662.81         496.54         60286.07       31701.53       28584.54       
52             859.35         147633.45      665.02         494.33         61445.42       32366.55       29078.87       
53             859.35         146966.21      667.24         492.11         62604.77       33033.79       29570.98       
54             859.35         146296.75      669.46         489.89         63764.11       33703.25       30060.87       
55             859.35         145625.06      671.69         487.66         64923.46       34374.94       30548.52       
56             859.35         144951.13      673.93         485.42         66082.81       35048.87       31033.94       
57             859.35         144274.95      676.18         483.17         67242.16       35725.05       31517.11       
58             859.35         143596.52      678.43         480.92         68401.50       36403.48       31998.03       
59             859.35         142915.83      680.69         478.66         69560.85       37084.17       32476.68       
60             859.35         142232.87      682.96         476.39         70720.20       37767.13       32953.07       
61             859.35         141547.63      685.24         474.11         71879.55       38452.37       33427.18       
62             859.35         140860.11      687.52         471.83         73038.89       39139.89       33899.00       
63             859.35         140170.29      689.81         469.53         74198.24       39829.71       34368.54       
64             859.35         139478.18      692.11         467.23         75357.59       40521.82       34835.77       
65             859.35         138783.76      694.42         464.93         76516.94       41216.24       35300.70       
66             859.35         138087.03      696.73         462.61         77676.28       41912.97       35763.31       
67             859.35         137387.97      699.06         460.29         78835.63       42612.03       36223.60       
68             859.35         136686.58      701.39         457.96         79994.98       43313.42       36681.56       
69             859.35         135982.86      703.73         455.62         81154.33       44017.14       37137.18       
70             859.35         135276.78      706.07         453.28         82313.67       44723.22       37590.46       
71             859.35         134568.36      708.42         450.92         83473.02       45431.64       38041.38       
72             859.35         133857.57      710.79         448.56         84632.37       46142.43       38489.94       
73             859.35         133144.42      713.16         446.19         85791.72       46855.58       38936.13       
74             859.35         132428.88      715.53         443.81         86951.06       47571.12       39379.95       
75             859.35         131710.97      717.92         441.43         88110.41       48289.03       39821.38       
76             859.35         130990.66      720.31         439.04         89269.76       49009.34       40260.42       
77             859.35         130267.94      722.71         436.64         90429.11       49732.06       40697.05       
78             859.35         129542.82      725.12         434.23         91588.46       50457.18       41131.28       
79             859.35         128815.28      727.54         431.81         92747.80       51184.72       41563.09       
80             859.35         128085.32      729.96         429.38         93907.15       51914.68       41992.47       
81             859.35         127352.92      732.40         426.95         95066.50       52647.08       42419.42       
82             859.35         126618.09      734.84         424.51         96225.85       53381.91       42843.93       
83             859.35         125880.80      737.29         422.06         97385.19       54119.20       43265.99       
84             859.35         125141.06      739.74         419.60         98544.54       54858.94       43685.60       
85             859.35         124398.84      742.21         417.14         99703.89       55601.16       44102.73       
86             859.35         123654.16      744.68         414.66         100863.24      56345.84       44517.39       
87             859.35         122906.99      747.17         412.18         102022.58      57093.01       44929.58       
88             859.35         122157.34      749.66         409.69         103181.93      57842.66       45339.27       
89             859.35         121405.18      752.16         407.19         104341.28      58594.82       45746.46       
90             859.35         120650.52      754.66         404.68         105500.63      59349.48       46151.14       
91             859.35         119893.34      757.18         402.17         106659.97      60106.66       46553.31       
92             859.35         119133.63      759.70         399.64         107819.32      60866.37       46952.95       
93             859.35         118371.40      762.24         397.11         108978.67      61628.60       47350.07       
94             859.35         117606.62      764.78         394.57         110138.02      62393.38       47744.64       
95             859.35         116839.30      767.33         392.02         111297.36      63160.70       48136.66       
96             859.35         116069.41      769.88         389.46         112456.71      63930.59       48526.12       
97             859.35         115296.96      772.45         386.90         113616.06      64703.04       48913.02       
98             859.35         114521.94      775.02         384.32         114775.41      65478.06       49297.34       
99             859.35         113744.33      777.61         381.74         115934.75      66255.67       49679.08       
100            859.35         112964.13      780.20         379.15         117094.10      67035.87       50058.23       
101            859.35         112181.33      782.80         376.55         118253.45      67818.67       50434.78       
102            859.35         111395.92      785.41         373.94         119412.80      68604.08       50808.72       
103            859.35         110607.89      788.03         371.32         120572.14      69392.11       51180.04       
104            859.35         109817.24      790.65         368.69         121731.49      70182.76       51548.73       
105            859.35         109023.95      793.29         366.06         122890.84      70976.05       51914.79       
106            859.35         108228.01      795.93         363.41         124050.19      71771.99       52278.20       
107            859.35         107429.43      798.59         360.76         125209.53      72570.57       52638.96       
108            859.35         106628.18      801.25         358.10         126368.88      73371.82       52997.06       
109            859.35         105824.26      803.92         355.43         127528.23      74175.74       53352.49       
110            859.35         105017.66      806.60         352.75         128687.58      74982.34       53705.23       
111            859.35         104208.37      809.29         350.06         129846.92      75791.63       54055.29       
112            859.35         103396.38      811.99         347.36         131006.27      76603.62       54402.65       
113            859.35         102581.69      814.69         344.65         132165.62      77418.31       54747.31       
114            859.35         101764.28      817.41         341.94         133324.97      78235.72       55089.25       
115            859.35         100944.15      820.13         339.21         134484.31      79055.85       55428.46       
116            859.35         100121.28      822.87         336.48         135643.66      79878.72       55764.94       
117            859.35         99295.67       825.61         333.74         136803.01      80704.33       56098.68       
118            859.35         98467.31       828.36         330.99         137962.36      81532.69       56429.66       
119            859.35         97636.19       831.12         328.22         139121.70      82363.81       56757.89       
120            859.35         96802.29       833.89         325.45         140281.05      83197.71       57083.34       
121            859.35         95965.62       836.67         322.67         141440.40      84034.38       57406.02       
122            859.35         95126.16       839.46         319.89         142599.75      84873.84       57725.90       
123            859.35         94283.90       842.26         317.09         143759.09      85716.10       58042.99       
124            859.35         93438.83       845.07         314.28         144918.44      86561.17       58357.27       
125            859.35         92590.94       847.88         311.46         146077.79      87409.06       58668.73       
126            859.35         91740.23       850.71         308.64         147237.14      88259.77       58977.37       
127            859.35         90886.69       853.55         305.80         148396.48      89113.31       59283.17       
128            859.35         90030.29       856.39         302.96         149555.83      89969.71       59586.13       
129            859.35         89171.05       859.25         300.10         150715.18      90828.95       59886.23       
130            859.35         88308.94       862.11         297.24         151874.53      91691.06       60183.46       
131            859.35         87443.95       864.98         294.36         153033.87      92556.05       60477.83       
132            859.35         86576.08       867.87         291.48         154193.22      93423.92       60769.31       
133            859.35         85705.32       870.76         288.59         155352.57      94294.68       61057.89       
134            859.35         84831.66       873.66         285.68         156511.92      95168.34       61343.58       
135            859.35         83955.09       876.58         282.77         157671.26      96044.91       61626.35       
136            859.35         83075.59       879.50         279.85         158830.61      96924.41       61906.20       
137            859.35         82193.16       882.43         276.92         159989.96      97806.84       62183.12       
138            859.35         81307.79       885.37         273.98         161149.31      98692.21       62457.10       
139            859.35         80419.47       888.32         271.03         162308.65      99580.53       62728.12       
140            859.35         79528.18       891.28         268.06         163468.00      100471.82      62996.19       
141            859.35         78633.93       894.25         265.09         164627.35      101366.07      63261.28       
142            859.35         77736.70       897.23         262.11         165786.70      102263.30      63523.39       
143            859.35         76836.47       900.23         259.12         166946.04      103163.53      63782.52       
144            859.35         75933.25       903.23         256.12         168105.39      104066.75      64038.64       
145            859.35         75027.01       906.24         253.11         169264.74      104972.99      64291.75       
146            859.35         74117.75       909.26         250.09         170424.09      105882.25      64541.84       
147            859.35         73205.46       912.29         247.06         171583.43      106794.54      64788.90       
148            859.35         72290.13       915.33         244.02         172742.78      107709.87      65032.92       
149            859.35         71371.75       918.38         240.97         173902.13      108628.25      65273.88       
150            859.35         70450.31       921.44         237.91         175061.48      109549.69      65511.79       
151            859.35         69525.80       924.51         234.83         176220.82      110474.20      65746.62       
152            859.35         68598.20       927.59         231.75         177380.17      111401.80      65978.38       
153            859.35         67667.52       930.69         228.66         178539.52      112332.48      66207.04       
154            859.35         66733.73       933.79         225.56         179698.87      113266.27      66432.59       
155            859.35         65796.83       936.90         222.45         180858.21      114203.17      66655.04       
156            859.35         64856.80       940.02         219.32         182017.56      115143.20      66874.36       
157            859.35         63913.64       943.16         216.19         183176.91      116086.36      67090.55       
158            859.35         62967.34       946.30         213.05         184336.26      117032.66      67303.60       
159            859.35         62017.88       949.46         209.89         185495.61      117982.12      67513.49       
160            859.35         61065.26       952.62         206.73         186654.95      118934.74      67720.22       
161            859.35         60109.47       955.80         203.55         187814.30      119890.53      67923.77       
162            859.35         59150.48       958.98         200.36         188973.65      120849.52      68124.13       
163            859.35         58188.30       962.18         197.17         190133.00      121811.70      68321.30       
164            859.35         57222.92       965.39         193.96         191292.34      122777.08      68515.26       
165            859.35         56254.31       968.60         190.74         192451.69      123745.69      68706.00       
166            859.35         55282.48       971.83         187.51         193611.04      124717.52      68893.52       
167            859.35         54307.41       975.07         184.27         194770.39      125692.59      69077.79       
168            859.35         53329.08       978.32         181.02         195929.73      126670.92      69258.82       
169            859.35         52347.50       981.58         177.76         197089.08      127652.50      69436.58       
170            859.35         51362.64       984.86         174.49         198248.43      128637.36      69611.07       
171            859.35         50374.51       988.14         171.21         199407.78      129625.49      69782.28       
172            859.35         49383.07       991.43         167.92         200567.12      130616.93      69950.20       
173            859.35         48388.34       994.74         164.61         201726.47      131611.66      70114.81       
174            859.35         47390.28       998.05         161.29         202885.82      132609.72      70276.10       
175            859.35         46388.90       1001.38        157.97         204045.17      133611.10      70434.07       
176            859.35         45384.19       1004.72        154.63         205204.51      134615.81      70588.70       
177            859.35         44376.12       1008.07        151.28         206363.86      135623.88      70739.98       
178            859.35         43364.69       1011.43        147.92         207523.21      136635.31      70887.90       
179            859.35         42349.89       1014.80        144.55         208682.56      137650.11      71032.45       
180            859.35         41331.71       1018.18        141.17         209841.90      138668.29      71173.61       
181            859.35         40310.14       1021.58        137.77         211001.25      139689.86      71311.39       
182            859.35         39285.16       1024.98        134.37         212160.60      140714.84      71445.75       
183            859.35         38256.76       1028.40        130.95         213319.95      141743.24      71576.70       
184            859.35         37224.93       1031.83        127.52         214479.29      142775.07      71704.23       
185            859.35         36189.67       1035.26        124.08         215638.64      143810.33      71828.31       
186            859.35         35150.95       1038.72        120.63         216797.99      144849.05      71948.94       
187            859.35         34108.78       1042.18        117.17         217957.34      145891.22      72066.11       
188            859.35         33063.12       1045.65        113.70         219116.68      146936.88      72179.81       
189            859.35         32013.99       1049.14        110.21         220276.03      147986.01      72290.02       
190            859.35         30961.35       1052.63        106.71         221435.38      149038.65      72396.73       
191            859.35         29905.21       1056.14        103.20         222594.73      150094.79      72499.94       
192            859.35         28845.55       1059.66        99.68          223754.07      151154.45      72599.62       
193            859.35         27782.35       1063.20        96.15          224913.42      152217.65      72695.77       
194            859.35         26715.61       1066.74        92.61          226072.77      153284.39      72788.38       
195            859.35         25645.32       1070.30        89.05          227232.12      154354.68      72877.43       
196            859.35         24571.45       1073.86        85.48          228391.46      155428.55      72962.92       
197            859.35         23494.01       1077.44        81.90          229550.81      156505.99      73044.82       
198            859.35         22412.98       1081.03        78.31          230710.16      157587.02      73123.14       
199            859.35         21328.34       1084.64        74.71          231869.51      158671.66      73197.84       
200            859.35         20240.09       1088.25        71.09          233028.85      159759.91      73268.94       
201            859.35         19148.20       1091.88        67.47          234188.20      160851.80      73336.41       
202            859.35         18052.68       1095.52        63.83          235347.55      161947.32      73400.23       
203            859.35         16953.51       1099.17        60.18          236506.90      163046.49      73460.41       
204            859.35         15850.68       1102.84        56.51          237666.24      164149.32      73516.92       
205            859.35         14744.17       1106.51        52.84          238825.59      165255.83      73569.76       
206            859.35         13633.96       1110.20        49.15          239984.94      166366.04      73618.90       
207            859.35         12520.06       1113.90        45.45          241144.29      167479.94      73664.35       
208            859.35         11402.45       1117.61        41.73          242303.63      168597.55      73706.08       
209            859.35         10281.11       1121.34        38.01          243462.98      169718.89      73744.09       
210            859.35         9156.03        1125.08        34.27          244622.33      170843.97      73778.36       
211            859.35         8027.21        1128.83        30.52          245781.68      171972.79      73808.88       
212            859.35         6894.62        1132.59        26.76          246941.02      173105.38      73835.64       
213            859.35         5758.25        1136.37        22.98          248100.37      174241.75      73858.62       
214            859.35         4618.10        1140.15        19.19          249259.72      175381.90      73877.82       
215            859.35         3474.14        1143.95        15.39          250419.07      176525.86      73893.21       
216            859.35         2326.38        1147.77        11.58          251578.41      177673.62      73904.79       
217            859.35         1174.78        1151.59        7.75           252737.76      178825.22      73912.54       
218            859.35         19.35          1155.43        3.92           253897.11      179980.65      73916.46       
219            19.42          0.00           19.35          0.06           253916.53      180000.00      73916.53       
]0;pahlni@eos18:~/cis263/p1/AmortizationTable[pahlni@eos18 AmortizationTable]$ exit

Script done on Sat 09 Jul 2016 08:50:23 PM EDT
